0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/img_search.gif HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/subtitle/img_subtitle03-01.gif HTTP/1.1" 200 51675
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number01.gif HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number03.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/sample/img_download.gif HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number05.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number04.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number06.gif HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number08.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number07.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number09.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/num/ico_number10.gif HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:27 +0900] "GET /sht_webapp/images/bl/bl_h4.gif HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:29 +0900] "POST /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do HTTP/1.1" 200 17409
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:30 +0900] "GET /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do?year=2019&month=6&week=1&searchCondition=SCHDUL_SE&searchKeyword=1 HTTP/1.1" 200 17417
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:32 +0900] "GET /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do?year=2019&month=6&week=1&searchCondition=SCHDUL_SE&searchKeyword=4 HTTP/1.1" 200 17417
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:33 +0900] "GET /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do?year=2018&month=6&week=1&searchCondition=SCHDUL_SE&searchKeyword=4 HTTP/1.1" 200 17417
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:33 +0900] "GET /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do?year=2019&month=6&week=1&searchCondition=SCHDUL_SE&searchKeyword=4 HTTP/1.1" 200 17417
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:35 +0900] "POST /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do HTTP/1.1" 200 17409
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:37 +0900] "POST /sht_webapp/cop/smt/sim/EgovIndvdlSchdulManageWeekList.do HTTP/1.1" 200 17409
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:39 +0900] "GET /sht_webapp/EgovPageLink.do?menuNo=11&link=main%2Fsample_menu%2FEgovAboutSite HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:39 +0900] "GET /sht_webapp/images/subtitle/img_subtitle01.gif HTTP/1.1" 200 52865
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:39 +0900] "GET /sht_webapp/images/temp01.gif HTTP/1.1" 200 39706
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:39 +0900] "GET /sht_webapp/images/bl/bl_h2.gif HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [12/Jul/2019:11:08:39 +0900] "GET /sht_webapp/images/bl/bl_h3.gif HTTP/1.1" 200 509
